,case_name,document_type,case_number,court,is search warrant?
0,"INFORMATION ASSOCIATED WITH ONE ACCOUNT STORED AT PREMISES CONTROLLED BY  TWITTER, INC. PURSUANT TO 18 U.S.C. 2703 FOR INVESTIGATION OF VIOLATION OF 18 U.S.C. &#167;&#167; 1752(a)(1) & (2) and 40 U.S.",Application for Search/Seizure Warrant- 18 U.S.C. 2703,1:21-sc-01192,dcd,True
1,"USA v.  IN THE MATTER OF THE SEARCH OF THE PREMISES LOCATED AT 56/58 FISK STREET, PROVIDENCE, RI; BASEMENT LEVEL APARTMENT",Case Assigned/Reassigned,1:21-sw-00156-1,rid,True
2,"USA v. White iPhone with gray and blue case seized 4/3/21, and White iPhone with blue case seized 4/2/21",Case Assigned/Reassigned,1:21-sw-00154-1,rid,True
3,"USA v. IN THE MATTER OF THE SEARCH OF ONE CELL PHONE, AN IPHONE MODEL XR, SERIAL NUMBR C8PXKAWKKXKN, CURRENTLY LOCATED AT EVIDENCE FACILITY IN WASHINGTON, D.C., UNDER RULE 41",Order on Motion to Unseal Document,1:21-sw-00052-1,dcd,True
4,"USA v. White iPhone with gray and blue case seized 4/3/21, and White iPhone with blue case seized 4/2/21",Application for Warrant,1:21-sw-00154-1,rid,True
5,USA v. ELEVEN ELECTRONIC DEVICES CURRENTLY IN THE POSSESSION OF THE UNITED STATES POSTAL SERVICE UNDER RULE 41,Order on Motion for Order,1:20-sw-00122-1,dcd,True
6,USA v. ELEVEN ELECTRONIC DEVICES CURRENTLY IN THE POSSESSION OF THE UNITED STATES POSTAL SERVICE UNDER RULE 41,Case Unsealed,1:20-sw-00122-1,dcd,True
7,"USA v. SELECT ELECTRONIC DEVICES, STORAGE UNITS, AND DATABASES CURRENTLY IN THE POSSESSION OF THE UNITED STATES POSTAL INSPECTION SERVICE",Case Unsealed,1:18-sw-00135-1,dcd,True
8,"USA v. SELECT ELECTRONIC DEVICES, STORAGE UNITS, AND DATABASES CURRENTLY IN THE POSSESSION OF THE UNITED STATES POSTAL INSPECTION SERVICE",Order on Motion for Order,1:18-sw-00135-1,dcd,True
9,USA v. Black Alcatel TracFone assigned Warwick Police property number 20-1416-PR-E,Application for Warrant,1:21-sw-00178-1,rid,True
10,"USA v. In the matter of the search of Apple iPhone Touch ID cellular telephone, model A1864, iPhone 8 Plus, black with clear Otterbox case, in custody of ATF (more fully described in Attachment A)",Order on Motion to Unseal Case,6:19-sw-02159-1,mowd,True
11,"USA v. In the matter of the search of Apple iPhone (Face ID) cellular telephone, model A1984, iPhone XR, black, with yellow Otterbox case, in custody of ATF (more fully described in Attachment A)",Order on Motion to Unseal Case,6:19-sw-02158-1,mowd,True
12,"APPLICATION FOR SEARCH OF INFORMATION ASSOCIATED WITH ONE ACCOUNT STORED AT PREMISES CONTROLLED BY FACEBOOK, INC. PURSUANT TO 18 U.S.C. 2703 FOR INVESTIGATION OF VIOLATION OF 18 U.S.C. &#167; 1512",Case Unsealed,1:21-sc-00446,dcd,True
13,USA v. Black TCL TracFone assigned Warwick Police property number 20-1416-PR-D,Application for Warrant,1:21-sw-00177-1,rid,True
14,"APPLICATION FOR SEARCH OF INFORMATION ASSOCIATED WITH ONE ACCOUNT STORED AT PREMISES CONTROLLED BY FACEBOOK, INC. PURSUANT TO 18 U.S.C. 2703 FOR INVESTIGATION OF VIOLATION OF 18 U.S.C. &#167; 1512",Order on Motion to Unseal Case,1:21-sc-00446,dcd,True
15,USA v. Black Alcatel TracFone assigned Warwick Police property number 20-1416-PR-E,Case Assigned/Reassigned,1:21-sw-00178-1,rid,True
16,USA v. soledadmuernos&#064;yahoo.com,Order on Motion to Unrestrict Case,1:21-sw-00038-1,cod,True
17,USA v. soledadmuernos&#064;yahoo.com,Unrestrict Case,1:21-sw-00038-1,cod,True
18,USA v.  Facebook User ID alicia.tangeman,Unrestrict Case,1:21-sw-00045-1,cod,True
19,USA v. Black TCL TracFone assigned Warwick Police property number 20-1416-PR-D,Case Assigned/Reassigned,1:21-sw-00177-1,rid,True
20,USA v. Black Alcatel TracFone assigned Warwick Police Department property number 20-1416-PR-A,Application for Warrant,1:21-sw-00174-1,rid,True
21,USA v.  In the Matter of the Search of Black TCL phone found in trunk,Application for Warrant,1:21-sw-00173-1,rid,True
22,USA v. Black Alcatel TracFone assigned Warwick Police Department property number 20-1416-PR-A,Case Assigned/Reassigned,1:21-sw-00174-1,rid,True
23,USA v.  In the Matter of the Search of Black TCL phone found in trunk,Case Assigned/Reassigned,1:21-sw-00173-1,rid,True
24,USA v.  In the Matter of the Search of Black TCL,Application for Warrant,1:21-sw-00172-1,rid,True
25,USA v.  In the Matter of the Search of Black TCL,Case Assigned/Reassigned,1:21-sw-00172-1,rid,True
26,USA v. Black TCL TracFone IMEI: 015423008543388 assigned Warwick Police property number 20-1416-PR-C,Application for Warrant,1:21-sw-00176-1,rid,True
27,USA v. In the Matter of the Search of Black LG TracFone,Application for Warrant,1:21-sw-00170-1,rid,True
28,USA v. In the Matter of the Search of Black TCL TracFone,Application for Warrant,1:21-sw-00169-1,rid,True
29,USA v. In the Matter of the Search of Black TCL TracFone,Application for Warrant,1:21-sw-00168-1,rid,True
30,USA v. Black TCL TracFone IMEI: 015423008543388 assigned Warwick Police property number 20-1416-PR-C,Case Assigned/Reassigned,1:21-sw-00176-1,rid,True
31,USA v. Black TCL TracFone IMEI: 015423002809512 assigned Warwick Police property number 20-1416-PR,Application for Warrant,1:21-sw-00175-1,rid,True
32,USA v. Black TCL TracFone IMEI: 015423002809512 assigned Warwick Police property number 20-1416-PR,Case Assigned/Reassigned,1:21-sw-00175-1,rid,True
33,USA v. In the Matter of the Search of Black TCL TracFone,Application for Warrant,1:21-sw-00165-1,rid,True
34,USA v. In the Matter of the Search of Black TCL TracFone,Application for Warrant,1:21-sw-00167-1,rid,True
35,USA v. In the Matter of the Search of Black TCL TracFone,Case Assigned/Reassigned,1:21-sw-00169-1,rid,True
36,USA v. In the Matter of the Search of Black LG TracFone,Case Assigned/Reassigned,1:21-sw-00170-1,rid,True
37,USA v. In the Matter of the Search of Black TCL TracFone,Application for Warrant,1:21-sw-00166-1,rid,True
38,USA v. In the Matter of the Search of Black TCL TracFone,Case Assigned/Reassigned,1:21-sw-00168-1,rid,True
39,USA v. In the Matter of the Search of Black BLU TracFone bearing a NE Patriots sticker,Application for Warrant,1:21-sw-00164-1,rid,True
40,USA v. In the Matter of the Search of Black TCL TracFone,Case Assigned/Reassigned,1:21-sw-00167-1,rid,True
41,USA v. In the Matter of the Search of Black TCL TracFone,Case Assigned/Reassigned,1:21-sw-00166-1,rid,True
42,USA v. In the Matter of the Search of Black BLU TracFone bearing a NE Patriots sticker,Case Assigned/Reassigned,1:21-sw-00164-1,rid,True
43,USA v. Blue Android Samsung Galaxy A50 with Serial No.: 35601013150735,Case Assigned/Reassigned,1:21-sw-00188-1,rid,True
44,USA v. In the Matter of the Search of Black TCL TracFone,Case Assigned/Reassigned,1:21-sw-00165-1,rid,True
45,State Court Records,State Court Records - UPLOAD,6:21-sc-99999,vawd,True
46,USA v. In the Matter of the Search of Black LG TracFone,Application for Warrant,1:21-sw-00163-1,rid,True
47,USA v. In the Matter of the Search of Black LG TracFone,Case Assigned/Reassigned,1:21-sw-00163-1,rid,True
48,"USA v. LG cellular telephone, model LGL52VL, serial number 603CYAS0128576 (more fully described in Attachment A)",Order on Motion to Unseal Case,6:20-sw-02088-1,mowd,True
49,USA v. Blue Android Samsung Galaxy A50 with Serial No.: 35601013150735,Application for Warrant,1:21-sw-00188-1,rid,True
50,"USA v. In the matter of the search of Apple MacBook Pro, model A1398, laptop computer, serial No. C02MNCS0FD56",Order on Motion to Unseal Case,6:19-sw-02185-1,mowd,True
