case_name,document_type,case_number,court
"USA v. 4227 JENIFER STREET N.W. WASHINGTON, D.C., AND ELECTRONIC DEVICES THEREIN UNDER RULE 41",Case Unsealed,1:21-sw-00145-1,dcd
USA v. A SILVER 2004 CHRYSLER TOWN AND COUNTRY BEARING MARYLAND LICENSE PLATE 4EG9203 AND VIN 2C8GP54L84R603669,Case Unsealed,1:21-sw-00109-1,dcd
USA v. Black Alcatel TracFone assigned Warwick Police Department property number 20-1416-PR-A,Application for Warrant,1:21-sw-00174-1,rid
USA v. Black Alcatel TracFone assigned Warwick Police property number 20-1416-PR-E,Application for Warrant,1:21-sw-00178-1,rid
USA v. Black TCL TracFone assigned Warwick Police property number 20-1416-PR-D,Application for Warrant,1:21-sw-00177-1,rid
USA v. Black TCL TracFone IMEI: 015423002809512 assigned Warwick Police property number 20-1416-PR,Application for Warrant,1:21-sw-00175-1,rid
USA v. Black TCL TracFone IMEI: 015423008543388 assigned Warwick Police property number 20-1416-PR-C,Application for Warrant,1:21-sw-00176-1,rid
USA v. Blue Android Samsung Galaxy A50 with Serial No.: 35601013150735,Application for Warrant,1:21-sw-00188-1,rid
USA v. ELEVEN ELECTRONIC DEVICES CURRENTLY IN THE POSSESSION OF THE UNITED STATES POSTAL SERVICE UNDER RULE 41,Case Unsealed,1:20-sw-00122-1,dcd
USA v.  Facebook User ID alicia.tangeman,Order on Motion to Unrestrict Case,1:21-sw-00045-1,cod
"USA v. IN THE MATTER OF THE SEARCH OF 4215 FOOTE STREET NE, WASHINGTON, D.C. 20019 (TARGET LOCATION)",Case Unsealed,1:18-sw-00341-1,dcd
"USA v. In the matter of the search of Apple iPhone (Face ID) cellular telephone, model A1984, iPhone XR, black, with yellow Otterbox case, in custody of ATF (more fully described in Attachment A)",Order on Motion to Unseal Case,6:19-sw-02158-1,mowd
"USA v. In the matter of the search of Apple iPhone Touch ID cellular telephone, model A1864, iPhone 8 Plus, black with clear Otterbox case, in custody of ATF (more fully described in Attachment A)",Order on Motion to Unseal Case,6:19-sw-02159-1,mowd
"USA v. In the matter of the search of Apple MacBook Pro, model A1278, laptop computer, serial no. C17HT297DTY3",Order on Motion to Unseal Case,6:19-sw-02184-1,mowd
"USA v. In the matter of the search of Apple MacBook Pro, model A1398, laptop computer, serial No. C02MNCS0FD56",Order on Motion to Unseal Case,6:19-sw-02185-1,mowd
"USA v. In the matter of the search of: Apple MacBook Pro, model A1502, laptop computer, serial No. C02P90CUFVH7",Order on Motion to Unseal Case,6:19-sw-02186-1,mowd
USA v. In the Matter of the Search of Black BLU TracFone bearing a NE Patriots sticker,Application for Warrant,1:21-sw-00164-1,rid
USA v. In the Matter of the Search of Black LG TracFone,Application for Warrant,1:21-sw-00163-1,rid
USA v. In the Matter of the Search of Black LG TracFone,Application for Warrant,1:21-sw-00170-1,rid
USA v.  In the Matter of the Search of Black TCL,Application for Warrant,1:21-sw-00172-1,rid
